+---------------------------------------------------------------+
|             Report of 2D FEA based PEmag results              |
|               Created by PEmag Release 2022 R2               |
|                 © 2022 UPM-SAS IP, Inc.                 |
+---------------------------------------------------------------+

-----------------------------------------------------------
  Magnetic Component Name: Trans_ETD39
  Number of Windings: 4
-----------------------------------------------------------

+---------------------------------------------+
|                                             |
|  Resistance as a function of the Frequency  |
|                                             |
+---------------------------------------------+

+-------------------------+
| Resistance of Winding 1 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
+----------------+----------------+
|       1e+04    |         12.9   |
|    1.05e+04    |         12.9   |
|     1.1e+04    |         12.9   |
|    1.15e+04    |         12.9   |
|     1.2e+04    |         12.9   |
|    1.26e+04    |         12.9   |
|    1.32e+04    |         12.9   |
|    1.38e+04    |         12.9   |
|    1.45e+04    |         12.9   |
|    1.52e+04    |         12.9   |
|    1.59e+04    |         12.9   |
|    1.67e+04    |         12.9   |
|    1.75e+04    |         12.9   |
|    1.83e+04    |         12.9   |
|    1.92e+04    |         12.9   |
|    2.01e+04    |         12.9   |
|     2.1e+04    |         12.9   |
|    2.21e+04    |           13   |
|    2.31e+04    |           13   |
|    2.42e+04    |           13   |
|    2.54e+04    |           13   |
|    2.66e+04    |           13   |
|    2.78e+04    |           13   |
|    2.92e+04    |           13   |
|    3.05e+04    |           13   |
|     3.2e+04    |           13   |
|    3.35e+04    |           13   |
|    3.51e+04    |           13   |
|    3.68e+04    |           13   |
|    3.85e+04    |         13.1   |
|    4.04e+04    |         13.1   |
|    4.23e+04    |         13.1   |
|    4.43e+04    |         13.1   |
|    4.64e+04    |         13.1   |
|    4.86e+04    |         13.1   |
|    5.09e+04    |         13.2   |
|    5.34e+04    |         13.2   |
|    5.59e+04    |         13.2   |
|    5.86e+04    |         13.3   |
|    6.14e+04    |         13.3   |
|    6.43e+04    |         13.3   |
|    6.73e+04    |         13.4   |
|    7.05e+04    |         13.4   |
|    7.39e+04    |         13.5   |
|    7.74e+04    |         13.5   |
|    8.11e+04    |         13.6   |
|     8.5e+04    |         13.6   |
|     8.9e+04    |         13.7   |
|    9.33e+04    |         13.8   |
|    9.77e+04    |         13.9   |
|    1.02e+05    |           14   |
|    1.07e+05    |         14.1   |
|    1.12e+05    |         14.2   |
|    1.18e+05    |         14.3   |
|    1.23e+05    |         14.4   |
|    1.29e+05    |         14.6   |
|    1.35e+05    |         14.8   |
|    1.42e+05    |         14.9   |
|    1.48e+05    |         15.1   |
|    1.56e+05    |         15.4   |
|    1.63e+05    |         15.6   |
|    1.71e+05    |         15.9   |
|    1.79e+05    |         16.2   |
|    1.87e+05    |         16.5   |
|    1.96e+05    |         16.8   |
|    2.06e+05    |         17.2   |
|    2.15e+05    |         17.6   |
|    2.26e+05    |         18.1   |
|    2.36e+05    |         18.6   |
|    2.48e+05    |         19.1   |
|     2.6e+05    |         19.7   |
|    2.72e+05    |         20.4   |
|    2.85e+05    |         21.1   |
|    2.98e+05    |         21.9   |
|    3.13e+05    |         22.8   |
|    3.27e+05    |         23.8   |
|    3.43e+05    |         24.8   |
|    3.59e+05    |           26   |
|    3.76e+05    |         27.2   |
|    3.94e+05    |         28.6   |
|    4.13e+05    |         30.2   |
|    4.33e+05    |         31.8   |
|    4.53e+05    |         33.6   |
|    4.75e+05    |         35.7   |
|    4.98e+05    |         37.9   |
|    5.21e+05    |         40.3   |
|    5.46e+05    |         42.9   |
|    5.72e+05    |         45.8   |
|    5.99e+05    |         48.9   |
|    6.28e+05    |         52.4   |
|    6.58e+05    |         56.2   |
|    6.89e+05    |         60.3   |
|    7.22e+05    |         64.9   |
|    7.56e+05    |         69.8   |
|    7.92e+05    |         75.3   |
|     8.3e+05    |         81.2   |
|     8.7e+05    |         87.7   |
|    9.11e+05    |         94.7   |
|    9.55e+05    |          102   |
|       1e+06    |          111   |
+----------------+----------------+

+-------------------------+
| Resistance of Winding 2 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
+----------------+----------------+
|       1e+04    |         1.55   |
|    1.05e+04    |         1.55   |
|     1.1e+04    |         1.55   |
|    1.15e+04    |         1.55   |
|     1.2e+04    |         1.55   |
|    1.26e+04    |         1.55   |
|    1.32e+04    |         1.55   |
|    1.38e+04    |         1.55   |
|    1.45e+04    |         1.55   |
|    1.52e+04    |         1.55   |
|    1.59e+04    |         1.55   |
|    1.67e+04    |         1.55   |
|    1.75e+04    |         1.55   |
|    1.83e+04    |         1.55   |
|    1.92e+04    |         1.55   |
|    2.01e+04    |         1.55   |
|     2.1e+04    |         1.55   |
|    2.21e+04    |         1.55   |
|    2.31e+04    |         1.55   |
|    2.42e+04    |         1.55   |
|    2.54e+04    |         1.55   |
|    2.66e+04    |         1.56   |
|    2.78e+04    |         1.56   |
|    2.92e+04    |         1.56   |
|    3.05e+04    |         1.56   |
|     3.2e+04    |         1.56   |
|    3.35e+04    |         1.56   |
|    3.51e+04    |         1.56   |
|    3.68e+04    |         1.56   |
|    3.85e+04    |         1.56   |
|    4.04e+04    |         1.57   |
|    4.23e+04    |         1.57   |
|    4.43e+04    |         1.57   |
|    4.64e+04    |         1.57   |
|    4.86e+04    |         1.57   |
|    5.09e+04    |         1.58   |
|    5.34e+04    |         1.58   |
|    5.59e+04    |         1.58   |
|    5.86e+04    |         1.59   |
|    6.14e+04    |         1.59   |
|    6.43e+04    |         1.59   |
|    6.73e+04    |          1.6   |
|    7.05e+04    |          1.6   |
|    7.39e+04    |         1.61   |
|    7.74e+04    |         1.61   |
|    8.11e+04    |         1.62   |
|     8.5e+04    |         1.63   |
|     8.9e+04    |         1.64   |
|    9.33e+04    |         1.64   |
|    9.77e+04    |         1.65   |
|    1.02e+05    |         1.66   |
|    1.07e+05    |         1.68   |
|    1.12e+05    |         1.69   |
|    1.18e+05    |          1.7   |
|    1.23e+05    |         1.72   |
|    1.29e+05    |         1.73   |
|    1.35e+05    |         1.75   |
|    1.42e+05    |         1.77   |
|    1.48e+05    |         1.79   |
|    1.56e+05    |         1.82   |
|    1.63e+05    |         1.84   |
|    1.71e+05    |         1.87   |
|    1.79e+05    |         1.91   |
|    1.87e+05    |         1.94   |
|    1.96e+05    |         1.98   |
|    2.06e+05    |         2.02   |
|    2.15e+05    |         2.07   |
|    2.26e+05    |         2.12   |
|    2.36e+05    |         2.17   |
|    2.48e+05    |         2.23   |
|     2.6e+05    |          2.3   |
|    2.72e+05    |         2.37   |
|    2.85e+05    |         2.46   |
|    2.98e+05    |         2.54   |
|    3.13e+05    |         2.64   |
|    3.27e+05    |         2.75   |
|    3.43e+05    |         2.87   |
|    3.59e+05    |         2.99   |
|    3.76e+05    |         3.13   |
|    3.94e+05    |         3.29   |
|    4.13e+05    |         3.46   |
|    4.33e+05    |         3.65   |
|    4.53e+05    |         3.85   |
|    4.75e+05    |         4.07   |
|    4.98e+05    |         4.32   |
|    5.21e+05    |         4.59   |
|    5.46e+05    |         4.89   |
|    5.72e+05    |         5.21   |
|    5.99e+05    |         5.57   |
|    6.28e+05    |         5.96   |
|    6.58e+05    |         6.39   |
|    6.89e+05    |         6.87   |
|    7.22e+05    |         7.38   |
|    7.56e+05    |         7.95   |
|    7.92e+05    |         8.58   |
|     8.3e+05    |         9.26   |
|     8.7e+05    |           10   |
|    9.11e+05    |         10.8   |
|    9.55e+05    |         11.7   |
|       1e+06    |         12.7   |
+----------------+----------------+

+-------------------------+
| Resistance of Winding 3 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
+----------------+----------------+
|       1e+04    |         1.85   |
|    1.05e+04    |         1.85   |
|     1.1e+04    |         1.85   |
|    1.15e+04    |         1.85   |
|     1.2e+04    |         1.85   |
|    1.26e+04    |         1.85   |
|    1.32e+04    |         1.85   |
|    1.38e+04    |         1.85   |
|    1.45e+04    |         1.85   |
|    1.52e+04    |         1.85   |
|    1.59e+04    |         1.85   |
|    1.67e+04    |         1.85   |
|    1.75e+04    |         1.85   |
|    1.83e+04    |         1.85   |
|    1.92e+04    |         1.85   |
|    2.01e+04    |         1.85   |
|     2.1e+04    |         1.85   |
|    2.21e+04    |         1.85   |
|    2.31e+04    |         1.85   |
|    2.42e+04    |         1.85   |
|    2.54e+04    |         1.85   |
|    2.66e+04    |         1.86   |
|    2.78e+04    |         1.86   |
|    2.92e+04    |         1.86   |
|    3.05e+04    |         1.86   |
|     3.2e+04    |         1.86   |
|    3.35e+04    |         1.86   |
|    3.51e+04    |         1.86   |
|    3.68e+04    |         1.86   |
|    3.85e+04    |         1.87   |
|    4.04e+04    |         1.87   |
|    4.23e+04    |         1.87   |
|    4.43e+04    |         1.87   |
|    4.64e+04    |         1.88   |
|    4.86e+04    |         1.88   |
|    5.09e+04    |         1.88   |
|    5.34e+04    |         1.89   |
|    5.59e+04    |         1.89   |
|    5.86e+04    |         1.89   |
|    6.14e+04    |          1.9   |
|    6.43e+04    |          1.9   |
|    6.73e+04    |         1.91   |
|    7.05e+04    |         1.92   |
|    7.39e+04    |         1.92   |
|    7.74e+04    |         1.93   |
|    8.11e+04    |         1.94   |
|     8.5e+04    |         1.95   |
|     8.9e+04    |         1.96   |
|    9.33e+04    |         1.97   |
|    9.77e+04    |         1.98   |
|    1.02e+05    |            2   |
